url;method;type;headers
https://yastatic.net/s3/market-b2c-static-production/white-desktop/browser-light/browser-light.browser.baseError.5b48ba2.js;GET;script;"{'origin': 'https://market.yandex.ru', 'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://yastatic.net/s3/market-b2c-static-production/white-desktop/browser-light/browser-light.browser.main-lib.cd05974.js;GET;script;"{'origin': 'https://market.yandex.ru', 'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://yastatic.net/s3/market-b2c-static-production/white-desktop/browser-light/browser-light.browser.main-vendor.f500a03.js;GET;script;"{'origin': 'https://market.yandex.ru', 'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://yastatic.net/s3/market-b2c-static-production/white-desktop/browser-light/browser-light.browser.IndexPageLight.75ca82e.js;GET;script;"{'origin': 'https://market.yandex.ru', 'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://mc.yandex.ru/metrika/tag_market.js;GET;script;"{'origin': 'https://market.yandex.ru', 'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://yastatic.net/vh-player/loader.js;GET;script;"{'origin': 'https://market.yandex.ru', 'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://avatars.mds.yandex.net/get-marketcms/1532570/img-357be51f-d253-45e3-8b81-81e21facb325.png/optimize;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://favicon.yandex.net/favicon/yandex.ru?size=120&stub=2;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://favicon.yandex.net/favicon/8cs.fail?size=120&stub=2;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://avatars.mds.yandex.net/get-direct/3085460/QkbIZ7JXgQOCdHUr4mOo0g/y180;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://avatars.mds.yandex.net/get-market-adv/8276645/d6f69711-2abc-4e9c-ac20-3047e31cb313/banner-width-720;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://avatars.mds.yandex.net/get-market-adv/8276645/1d1497a8-9384-4094-b82f-a16041aafc16/banner-width-720;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
https://avatars.mds.yandex.net/get-direct/6544047/9aGBuV4LurEN6EHUPxHOBA/y180;GET;image;"{'sec-ch-ua-platform': '""Windows""', 'referer': 'https://market.yandex.ru/', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36', 'sec-ch-ua': '""Chromium"";v=""145"", ""Not:A-Brand"";v=""99""', 'sec-ch-ua-mobile': '?0'}"
